collision_severity,road_type,speed_limit,urban_or_rural_area,collision_year
3,6,60,2,2021
3,6,30,1,2021
3,6,20,1,2020
3,6,40,2,2021
3,3,70,2,2021
3,6,30,1,2022
2,6,30,2,2021
3,6,20,1,2022
2,6,30,1,2022
3,6,30,2,2020
3,6,30,1,2021
3,6,30,1,2022
3,6,30,1,2024
3,6,30,2,2022
3,6,30,1,2022
3,6,40,1,2023
3,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2020
3,9,20,1,2020
2,6,30,1,2020
3,3,30,1,2020
3,3,70,2,2020
3,6,30,1,2024
3,6,30,1,2021
3,6,30,1,2022
3,6,30,2,2022
2,6,30,1,2022
3,6,30,1,2022
3,2,30,1,2023
3,6,20,1,2020
3,6,30,2,2021
3,3,40,1,2021
3,6,30,1,2021
3,3,40,1,2022
3,6,30,1,2022
3,1,30,1,2023
2,3,40,1,2023
3,3,40,1,2023
3,3,30,1,2023
3,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2024
2,6,30,1,2020
3,6,60,2,2020
3,6,30,1,2021
3,6,30,1,2021
3,6,60,2,2021
2,6,60,2,2021
2,6,60,2,2022
3,6,60,2,2022
2,6,60,2,2023
3,6,30,2,2023
1,6,60,2,2023
3,6,30,1,2023
3,6,20,1,2024
3,6,30,1,2024
3,6,30,2,2024
3,3,50,1,2020
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2023
3,6,30,1,2023
2,6,30,1,2024
3,6,60,2,2020
3,6,30,1,2020
3,3,40,2,2021
3,6,40,2,2022
2,3,40,1,2022
3,6,60,2,2023
3,6,30,2,2023
3,6,30,1,2023
3,6,60,2,2024
2,6,50,2,2024
2,3,70,2,2020
3,6,20,1,2020
3,6,60,2,2022
3,6,30,1,2022
3,1,30,1,2024
3,6,30,1,2024
3,6,60,2,2024
3,6,30,1,2024
2,6,20,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,2,30,1,2023
2,6,30,1,2023
3,3,30,1,2020
3,6,30,1,2020
3,2,30,1,2020
3,6,30,1,2022
2,3,30,1,2022
3,6,30,1,2023
2,6,30,1,2023
2,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2020
2,6,60,2,2023
3,6,30,1,2020
2,3,30,1,2020
3,6,30,1,2021
1,6,20,1,2021
3,3,40,1,2021
3,6,30,1,2022
2,6,30,1,2022
3,6,60,1,2022
3,6,30,1,2022
3,6,30,1,2023
2,6,30,1,2023
2,6,30,1,2024
3,3,30,1,2024
2,6,30,1,2024
3,6,20,1,2024
3,1,30,1,2020
3,6,30,2,2020
3,6,60,2,2021
3,6,60,2,2022
2,6,30,1,2022
3,3,30,1,2023
3,6,60,2,2024
3,3,30,2,2022
3,6,30,1,2022
3,6,60,2,2024
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2021
3,6,20,1,2024
3,6,30,1,2024
3,1,60,2,2022
3,9,20,1,2022
3,6,40,2,2024
3,1,30,1,2020
3,6,20,1,2020
3,6,30,2,2020
3,6,20,1,2021
3,6,20,1,2021
2,6,20,1,2022
3,6,20,1,2022
3,6,20,1,2022
3,3,40,1,2022
3,1,30,1,2022
3,6,30,1,2022
3,6,30,1,2023
3,6,20,1,2023
3,6,30,1,2023
3,6,30,1,2024
3,1,20,1,2024
3,3,40,2,2024
1,6,20,1,2024
3,1,60,2,2020
3,6,30,1,2021
3,6,20,1,2022
3,6,40,2,2022
3,6,30,1,2022
3,6,40,1,2022
3,6,30,1,2023
3,6,60,2,2024
3,6,30,1,2024
3,6,60,2,2021
3,6,30,1,2021
3,1,30,2,2022
3,3,70,2,2022
3,6,30,1,2022
2,6,30,1,2024
3,6,20,1,2024
3,1,30,1,2022
3,3,30,1,2023
3,6,30,1,2024
3,6,30,1,2024
3,6,40,1,2020
3,6,30,1,2021
3,6,30,2,2022
3,6,30,1,2022
3,6,30,2,2024
3,6,30,2,2024
3,6,30,1,2024
3,3,40,2,2024
2,6,50,2,2020
3,6,30,1,2020
3,6,30,1,2020
3,9,20,1,2021
3,6,40,1,2022
3,6,30,2,2022
3,6,40,2,2022
3,3,40,1,2023
3,3,70,2,2024
3,7,70,2,2020
1,6,60,2,2021
3,6,30,1,2023
3,6,40,2,2023
3,6,30,1,2024
2,7,30,1,2024
3,6,20,1,2021
3,6,20,1,2023
3,6,20,1,2024
2,6,30,1,2022
3,6,30,1,2022
2,6,30,1,2022
3,6,50,2,2022
3,3,50,2,2023
3,3,30,1,2024
3,6,40,1,2021
2,3,30,1,2021
2,6,30,1,2021
3,3,30,2,2022
2,6,30,1,2022
3,3,70,2,2022
3,6,40,2,2022
3,6,30,1,2022
3,6,30,1,2022
3,3,70,2,2022
3,6,30,1,2023
3,3,50,2,2023
3,6,40,1,2023
3,3,30,1,2024
3,6,30,1,2024
3,3,50,1,2020
2,6,40,1,2020
3,1,50,1,2021
2,6,60,2,2022
3,6,30,1,2022
1,6,60,2,2023
3,6,60,2,2024
3,6,30,1,2020
3,6,30,1,2023
3,6,30,1,2024
3,6,30,1,2020
3,6,30,1,2021
3,1,40,2,2021
3,6,30,1,2021
2,3,30,1,2022
3,6,30,1,2023
3,6,30,1,2020
2,3,40,1,2021
3,6,30,1,2022
2,6,40,2,2023
1,3,50,2,2021
3,1,40,1,2023
3,6,30,1,2024
3,3,70,2,2020
3,6,30,1,2021
3,6,60,1,2021
3,3,70,2,2022
3,3,70,2,2022
3,6,30,1,2023
3,6,30,2,2023
3,6,60,2,2024
1,3,70,2,2024
3,7,70,2,2024
3,6,30,1,2021
3,6,20,1,2021
2,6,30,1,2021
2,6,20,1,2021
2,6,20,1,2022
3,6,30,1,2022
3,6,20,1,2022
3,6,40,1,2022
2,6,30,1,2023
3,3,20,1,2023
2,6,20,1,2023
3,6,20,1,2024
2,6,50,1,2024
3,6,60,1,2020
3,6,30,1,2021
3,6,20,1,2022
3,6,30,1,2022
2,6,20,1,2022
3,7,40,2,2022
3,3,50,2,2023
3,6,50,2,2023
3,6,20,1,2024
3,2,30,1,2024
3,6,30,1,2020
3,6,30,1,2022
3,3,30,1,2022
2,6,40,1,2023
3,6,20,1,2024
3,1,30,1,2024
3,6,60,2,2020
2,6,30,1,2021
3,6,30,2,2021
3,6,30,1,2021
3,6,30,2,2022
3,6,40,2,2022
3,6,60,2,2023
1,6,30,1,2020
3,2,30,2,2020
3,6,30,1,2020
1,6,60,2,2020
3,6,30,2,2021
3,6,40,1,2021
3,6,30,1,2021
3,6,30,1,2022
3,3,60,2,2023
3,6,30,1,2023
3,6,30,1,2024
3,3,70,2,2020
3,6,60,2,2020
3,6,30,1,2020
3,6,40,2,2021
3,1,30,2,2021
3,6,30,1,2021
3,6,30,2,2021
3,6,30,1,2021
3,6,60,2,2021
3,6,20,2,2021
3,6,40,1,2022
3,6,60,2,2022
3,1,30,1,2022
3,6,60,2,2023
2,6,50,2,2020
2,3,50,2,2021
2,3,70,2,2021
3,6,60,2,2021
3,3,70,2,2022
3,6,40,2,2022
3,3,20,1,2022
3,3,70,2,2022
3,3,60,2,2023
3,6,20,1,2023
3,3,50,2,2023
3,6,30,1,2024
3,6,60,2,2020
1,6,60,2,2022
3,6,30,2,2023
2,1,30,1,2024
3,6,30,2,2024
3,6,30,1,2024
2,6,60,2,2020
3,6,30,1,2020
3,6,30,2,2021
1,6,60,2,2021
3,1,60,2,2021
3,6,60,2,2022
3,6,60,2,2022
3,6,30,2,2022
3,7,40,2,2022
3,6,60,2,2023
2,6,60,2,2023
3,6,30,2,2023
3,6,30,2,2023
3,6,30,1,2024
3,6,20,2,2024
3,6,40,2,2020
1,6,60,2,2021
3,6,30,1,2021
3,6,30,1,2022
3,6,30,1,2022
3,6,30,2,2022
3,6,30,1,2022
3,6,40,2,2022
3,6,30,1,2023
3,6,40,2,2023
3,6,30,2,2023
3,6,40,2,2023
3,6,30,1,2024
3,6,30,1,2024
3,9,30,1,2020
2,6,30,1,2020
3,3,70,2,2020
3,6,30,1,2021
3,6,30,1,2022
2,3,70,2,2021
2,6,30,2,2023
3,1,50,2,2023
3,7,50,2,2023
2,6,60,2,2023
2,6,30,1,2024
3,6,30,1,2020
2,6,60,2,2021
3,6,60,2,2021
3,3,70,2,2021
3,3,70,2,2023
3,6,30,1,2023
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,1,30,1,2021
2,3,50,2,2021
3,6,20,1,2021
2,3,50,2,2021
3,6,30,2,2021
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2023
2,6,30,2,2023
3,6,30,1,2023
3,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2024
3,6,20,1,2024
3,6,30,1,2024
3,1,40,1,2020
2,6,60,2,2020
2,6,60,2,2020
3,6,60,2,2020
3,6,60,2,2020
3,6,30,2,2020
3,6,60,2,2020
2,6,30,2,2021
3,6,40,1,2021
3,6,60,2,2021
3,6,60,2,2022
1,6,40,2,2022
3,6,30,1,2022
3,6,30,2,2023
3,6,60,2,2023
3,6,60,2,2023
3,1,30,2,2023
3,6,40,2,2024
3,6,20,1,2024
2,6,60,2,2020
3,3,60,2,2020
3,3,40,2,2020
2,6,60,2,2020
3,1,40,2,2020
3,6,30,1,2021
3,3,40,2,2021
3,3,30,1,2021
3,6,30,1,2021
1,3,70,2,2021
3,6,30,1,2021
3,6,30,2,2022
3,6,30,1,2023
3,6,30,1,2023
3,6,30,1,2024
3,6,60,2,2024
3,6,60,2,2024
3,6,30,1,2021
3,6,30,2,2021
3,6,40,2,2022
3,6,30,1,2023
3,6,40,2,2023
3,6,40,2,2023
3,1,40,2,2024
3,6,30,1,2024
3,6,40,2,2024
3,1,70,2,2021
3,6,30,2,2021
3,6,30,1,2022
3,6,30,1,2023
3,6,40,1,2023
3,6,60,2,2023
3,3,30,1,2023
3,6,30,2,2024
2,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2024
3,3,70,2,2023
3,6,30,1,2023
3,6,40,2,2023
3,3,70,2,2024
3,3,70,2,2024
3,6,20,1,2020
3,6,60,2,2020
3,6,30,2,2021
3,3,60,3,2021
3,6,60,2,2021
3,6,60,2,2021
2,6,40,2,2021
2,6,60,2,2021
3,6,30,1,2022
3,6,30,2,2022
3,6,60,2,2022
2,3,70,2,2022
2,9,20,2,2022
2,6,40,2,2023
2,6,30,2,2023
3,6,30,1,2023
3,6,60,2,2023
3,6,30,2,2024
2,6,60,2,2024
3,6,60,2,2024
3,3,70,2,2020
2,3,70,2,2020
3,6,30,1,2021
3,6,20,2,2021
3,3,70,2,2021
3,6,30,2,2021
3,6,30,2,2022
2,6,60,2,2022
2,6,30,2,2022
3,6,60,2,2022
3,6,40,1,2023
3,3,70,2,2023
3,3,30,2,2023
3,6,30,1,2023
3,6,40,2,2023
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2022
3,6,30,2,2022
3,6,30,1,2022
3,7,40,1,2022
3,6,30,1,2023
3,6,30,2,2021
2,6,20,2,2024
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,3,40,1,2020
3,3,40,1,2020
3,6,30,1,2020
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,3,30,1,2021
3,6,30,1,2022
3,3,30,2,2022
3,6,30,1,2022
3,6,30,1,2022
1,6,30,1,2022
3,3,30,1,2022
3,6,30,1,2023
3,6,30,1,2024
2,6,30,1,2024
2,3,40,1,2024
3,6,40,1,2020
2,6,30,1,2022
3,3,30,1,2022
3,3,30,1,2024
3,6,30,1,2020
3,6,30,1,2020
3,6,20,1,2021
3,6,20,1,2021
3,6,30,1,2023
3,6,40,1,2024
3,6,30,1,2020
3,6,30,1,2022
3,7,30,1,2022
3,6,20,1,2023
2,6,30,1,2023
3,6,30,1,2023
2,7,30,1,2023
3,3,70,1,2023
3,6,30,1,2024
3,6,30,1,2021
3,3,70,2,2021
3,6,30,1,2021
3,7,30,1,2022
3,1,30,1,2023
3,1,40,2,2023
3,6,50,2,2024
3,6,30,1,2024
3,6,30,1,2020
3,6,20,1,2020
3,6,30,1,2021
3,6,30,1,2021
3,2,30,1,2020
3,3,30,1,2020
3,6,20,1,2020
3,6,20,1,2021
3,6,30,1,2021
3,6,30,1,2021
2,6,30,1,2022
3,6,30,1,2023
2,3,50,1,2023
3,6,40,1,2024
3,6,30,1,2020
3,6,30,1,2023
3,1,30,1,2024
2,6,30,1,2020
3,3,30,1,2020
3,3,40,1,2020
3,6,30,1,2021
3,3,30,1,2021
2,6,20,1,2021
3,6,30,1,2021
3,6,20,1,2021
3,6,30,1,2021
2,6,20,1,2022
3,6,20,1,2022
3,6,30,1,2023
3,6,30,1,2023
3,6,20,1,2023
3,6,30,1,2023
3,6,30,1,2024
3,3,30,1,2024
3,2,20,1,2024
3,6,60,1,2020
3,6,30,1,2021
3,9,20,1,2022
3,6,30,2,2020
3,6,20,1,2021
3,6,30,1,2021
3,3,40,2,2023
3,6,30,1,2023
3,6,50,2,2024
2,6,40,2,2020
2,6,30,1,2020
3,6,30,2,2021
2,6,30,1,2021
3,3,70,2,2022
3,6,30,1,2022
3,6,30,1,2022
2,6,30,1,2023
3,6,30,1,2023
3,6,30,1,2023
3,3,70,2,2023
3,6,30,1,2024
2,1,30,1,2020
3,3,70,2,2020
3,6,30,1,2020
3,6,40,1,2021
2,6,30,1,2021
3,6,60,2,2023
3,6,20,1,2024
3,6,30,2,2024
3,6,40,1,2020
3,6,60,2,2021
2,3,70,2,2022
2,6,30,1,2022
3,6,30,1,2023
3,6,30,2,2023
3,6,30,1,2023
3,7,70,1,2024
2,6,40,2,2020
3,3,40,1,2021
3,6,30,2,2021
3,6,30,1,2022
3,6,30,1,2023
2,6,30,1,2024
2,6,20,1,2020
2,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2021
3,3,40,1,2021
3,6,30,1,2021
3,3,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
2,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2024
3,6,30,1,2024
2,3,30,2,2024
2,6,30,1,2021
3,3,70,2,2021
2,6,30,1,2021
3,6,30,1,2022
3,1,30,1,2022
3,3,50,1,2023
3,6,30,1,2023
3,1,40,1,2024
3,6,30,1,2020
3,6,40,1,2023
2,1,50,2,2023
3,6,30,1,2023
3,6,30,1,2021
3,6,30,1,2021
3,1,30,1,2023
3,6,20,1,2023
3,2,30,1,2024
3,9,30,1,2020
3,6,30,1,2022
3,6,20,1,2022
3,6,30,1,2023
3,3,30,1,2024
2,3,50,1,2024
3,3,60,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,3,30,1,2020
3,2,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2022
3,1,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
2,6,30,1,2022
3,1,30,1,2022
2,3,30,1,2022
3,6,30,1,2022
3,6,30,1,2023
3,6,20,1,2023
3,1,30,1,2023
3,6,30,1,2023
3,6,30,1,2023
2,6,30,1,2023
2,6,30,1,2023
3,3,20,1,2023
3,6,30,1,2023
3,7,30,1,2023
1,6,30,1,2023
3,3,20,1,2023
3,3,30,1,2023
3,6,20,1,2023
3,6,20,1,2024
3,6,30,1,2024
3,6,30,1,2024
2,6,30,1,2024
1,6,30,1,2024
3,6,20,1,2024
3,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2024
2,6,30,1,2024
3,3,30,1,2024
2,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2021
3,3,50,1,2021
3,6,30,1,2022
3,6,30,1,2023
3,3,30,1,2023
3,6,30,1,2023
3,6,30,1,2023
3,6,30,1,2023
3,3,30,1,2023
3,6,30,1,2024
3,6,30,2,2021
3,6,30,1,2022
2,6,30,1,2022
3,1,30,1,2022
3,6,30,1,2023
3,6,30,1,2024
2,6,30,1,2024
3,1,40,1,2024
3,6,30,1,2024
1,6,30,1,2020
2,6,30,1,2020
3,6,30,1,2021
2,6,30,1,2021
2,6,20,1,2021
3,1,30,1,2022
3,7,60,2,2022
3,6,30,1,2022
3,3,30,1,2023
3,3,30,1,2024
2,3,40,1,2024
3,6,30,1,2024
3,6,30,1,2024
3,3,40,1,2024
2,6,30,1,2024
3,6,30,1,2020
3,6,60,2,2021
3,6,30,1,2022
3,3,30,1,2023
3,6,30,1,2023
2,6,30,1,2023
3,6,30,1,2024
3,6,30,2,2020
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2020
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,2,2021
3,6,30,1,2021
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2022
3,6,30,1,2023
3,6,30,1,2024
3,6,30,1,2020
3,3,30,1,2020
3,3,40,1,2020
3,3,40,1,2022
3,6,30,1,2023
3,3,30,1,2024
3,3,30,1,2020
3,6,30,1,2020
3,3,30,1,2020
3,6,30,1,2021
2,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,3,70,2,2022
3,6,30,1,2022
2,6,30,1,2022
3,6,30,1,2023
3,6,30,1,2023
3,6,20,1,2024
2,6,20,1,2024
3,6,30,1,2024
3,6,30,1,2024
3,6,30,1,2024
2,6,30,1,2024
2,6,30,1,2024
3,3,40,1,2020
2,6,30,1,2021
3,1,30,1,2021
3,3,70,2,2022
3,3,40,1,2023
3,6,20,1,2023
3,6,20,1,2023
3,1,30,1,2023
3,6,30,1,2024
3,6,30,1,2024
2,3,30,1,2020
3,2,30,1,2020
3,6,30,1,2020
3,2,30,1,2021
3,6,30,1,2021
3,6,30,1,2021
3,3,70,1,2021
3,6,30,1,2021
3,6,40,1,2022
3,6,30,1,2022
3,6,30,1,2022
2,6,30,1,2023
2,6,30,1,2024
3,6,30,1,2024
3,6,50,1,2024
3,6,30,1,2020
2,3,40,1,2020
3,6,40,1,2021
3,6,20,1,2021
2,6,30,1,2021
3,3,40,1,2021
3,6,20,1,2021
3,6,30,1,2021
3,6,30,1,2022
3,6,20,1,2022
3,6,30,1,2022
3,6,30,2,2022
2,6,30,1,2022
2,6,30,1,2022
3,6,30,1,2023
3,6,30,1,2023
2,6,30,1,2023
3,6,20,2,2023
3,6,30,1,2023
3,6,30,1,2024
3,6,30,1,2024
2,6,20,1,2024
3,6,30,2,2020
3,6,30,1,2020
2,6,30,1,2020
